G06284,상추(적),500
G06285,상추(청),500
G06286,새송이버섯,2000
G06287,새싹인삼,3500
G06288,새싹쿠키,5000
G06289,샐러드,2500
G06290,샐러리,750
G06291,생강,10000
G06292,생강(토종),13000
G06293,생강가루,10000
G06294,생강농축액,10000
G06295,생강마들렌,1000
G06296,생강식혜,3000
G06297,생강진액,10000
G06298,생분해성봉투,150
G06299,생콩가루,8200
G06300,생크림소보루빵,1000
G06301,서리태,10000
G06302,서리태볶음가루,3900
G06303,서리태뻥튀기,4800
G06304,서목태,9900
G06305,석류나무,6000
G06306,선비콩,12000
G06307,설기샌드,1100
G06308,섬초,1500
G06309,소보루빵,750
G06310,소창면포,2500
G06311,소창육수주머니,5000
G06312,소창행주,2500
G06313,소포1(방담)(무),3000
G06314,소포1(방담)(타),3000
G06315,소포2,2000
G06316,소포3,3000
G06317,소포4(방담),4500
G06318,소포5(방담),6000
G06319,소포6,4500
G06320,소포7(방담),4600
G06321,소포8,5000
G06322,소포9,5000
G06323,소합1,3800
G06324,솎음무,3000
G06325,송엽국,2500
G06326,쇠머리찰떡,1100
G06327,수국,2000
G06328,수박,9000
G06329,수세미(망사),2800
G06330,수세미진액,15000
G06331,수수,10000
G06332,수정과,4600
G06333,수제떡갈비,2900
G06334,수제편강,5500
G06335,순두부,2000
G06336,순두부찌개,5500
G06337,슈크림빵,750
G06338,스카프,3400
G06339,스카프(아동용),3500
G06340,스타티스,5000
G06341,시금치,500
G06342,시금치(노지),1000
G06343,시금치(섬초),1500
G06344,시금치분말,8900
G06345,시금치치아바타,2500
G06346,시넨시스,5000
G06347,시몬카스테라,3750
G06348,식빵(바이킹),2250
G06349,식빵(쌀),2900
G06350,식빵(야채),2500
G06351,식빵(통밀),2250
G06352,식빵피자빵,1750
G06353,식초(감),35000
G06354,식혜,5000
G06355,신선초,2000
G06356,실파,1000
G06357,쌀과자,2000
G06358,쌀라면,1550
G06359,쌀로빚은채식라면,1750
G06360,쌀크림빵,900
G06361,쌀튀밥,3000
G06362,쌈무,2000
G06363,쌈배추,2500
G06364,쌈장,4000
G06365,쌈채소,1500
G06366,쌈채소(5종),1300
G06367,쌈채소(7종),2000
G06368,쑥,2000
G06369,쑥가래떡,2800
G06370,쑥갓,1000
G06371,쑥개떡,1400
G06372,쑥담은두부과자,3500
G06373,쑥떡,3500
G06374,쑥미숫가루,13000
G06375,쑥부쟁이,2000
G06376,쑥인절미,1400
G06377,쑥절편,1400
G06378,씀바귀,1500
G06379,아동악세사리(구슬),6000
G06380,아로니아,6000
G06381,아로니아분말,12000
G06382,아로니아블루베리즙,7500
G06383,아로니아수,1800
G06384,아로니아즙,5000
G06385,아로니아환,25000
G06386,아마란스분말,13000
G06387,아삭이고추,650
G06388,아스파라거스,3000
G06389,아스파라거스수,1500
G06390,아스파라거스즙,4500
G06391,아욱,1200
G06392,아이비,2000
G06393,아주까리(잎),2000
G06394,아주까리콩,12000
G06395,앙팡,1000
G06396,애니시다,10000
G06397,애호박,600
G06398,약식,2000
G06399,약식(단호박),1000
G06400,약쑥,3000
G06401,약콩청국장분말,24000
G06402,양배추,3000
G06403,양배추분말,8800
G06404,양배추즙,3500
G06405,양상추,2000
G06406,양파,1000
G06407,양파(잎),2500
G06408,양파드레싱,4600
G06409,양파즙,2500
G06410,어삼수,1500
G06411,얼음동동식혜,5000
G06412,엄나무,2500
G06413,엄나무순,1500
G06414,엉겅퀴즙,5500
G06415,엔젤쉬폰,5000
G06416,여주분말,12000
G06417,여주즙,3800
G06418,여주환,34000
G06419,연근,8000
G06420,연근(슬라이스),6000
G06421,연근부각,9000
G06422,연근조림,5000
G06423,연근차,8000
G06424,연김부각,9000
G06425,열매치자,7000
G06426,열무,1500
G06427,열무(솎음),1500
G06428,열무김치,8800
G06429,엿기름,7800
G06430,영양부추,2000
G06431,오가피,2000
G06432,오가피(열매),7000
G06433,오가피순,1500
G06434,오리주물럭,12000
G06435,오리훈제(국내산),7300
G06436,오미자진액,27000
G06437,오이(백다다기),1300
G06438,오이(취청),1400
G06439,오이고추,1400
G06440,오이소박이,8900
G06441,옥보차,7000
G06442,옥수수(냉동),3300
G06443,옥수수(팝콘),3500
G06444,옥수수수염,3000
G06445,옥수수알,4000
G06446,옥수수차,6000
G06447,옻나무,3000
G06448,옻나무순,5000
G06449,와송분말,20000
G06450,와송즙,7500
G06451,와송진액,22000
G06452,왁스플라워,3000
G06453,완두콩,4500
G06454,요거트,4000
G06455,우리단호박두부과자,4900
G06456,우리밀감자라면,1550
G06457,우리밀김센베,6000
G06458,우리밀김치라면,1600
G06459,우리밀꽈배기과자,3500
G06460,우리밀땅콩센베,6000
G06461,우리밀리얼버터빵,700
G06462,우리밀보리술찐빵,3000
G06463,우리밀생강센베,6000
G06464,우리밀술찐빵,3500
G06465,우리밀쌀식빵,2500
G06466,우리밀찐빵,4800
G06467,우리밀콩두부과자,5600
G06468,우리밀쿠키,3500
G06469,우리밀크래커,2000
G06470,우리밀호두파이,5000
G06471,우리찹쌀팥도넛,2200
G06472,우리콩순두부,2200
G06473,우슬뿌리,3000
G06474,우슬즙,7500
G06475,우엉,8000
G06476,우엉(채),5000
G06477,우엉차,13000
G06478,우유,3300
G06479,우유크림빵,2000
G06480,울금,10000
G06481,울금분말,12000
G06482,워터코인,2500
G06483,원추리,1500
G06484,유과,5000
G06485,유월설,4000
G06486,유자크럼블,1000
G06487,유정란(대란),7000
G06488,유정란(왕란),7500
G06489,유정란(초란),5000
G06490,유정란(특란),7500
G06491,유채나물,1500
G06492,유칼립투스,7000
G06493,율마,5000
G06494,율무,15000
G06495,은방울수선,3000
G06496,은행,4000
G06497,이사도라,2500
G06498,이스라지,20000
G06499,인삼,6000
G06500,인삼(세근),5000
G06501,인절미,2800
G06502,일반9분도미,16500
G06503,일반계육(육계) 통,6000
G06504,일반계육(절단),6000
G06505,일반닭(국내산),10500
G06506,일지매,5000
